service_name,escalation_policies,teams,integrations,last_incident_timestamp
CTS Proxy,RAD Escalation Policy,CTA-RAD,"[""Prometheus""]",
CTS Supply Oncall,CTS Supply Oncall Escalation,CTS Supply,"[""Email"", ""PagerDuty API"", ""Payment Options Cloudwatch Alarm"", ""Offers-service Cloudwatch Alarm"", ""Slack to PagerDuty""]",2019-10-30T07:54:35-07:00
cts-fulfillment-alerts,CTS-HATS Escalation Policy,CTS Fulfillment,"[""Email"", ""hats-prometheus""]",2019-10-30T12:56:07-07:00
cts-fulfillment-oncall,CTS-HATS Escalation Policy,CTS Fulfillment,"[""Email"", ""Slack"", ""Prometheus""]",
CTS-HATS-DCM,CTS-HATS Escalation Policy,CTS Fulfillment,"[""Prometheus"", ""pager-team-email""]",2019-08-13T16:05:20-07:00
Data Science Infrastructure,Data Science Escalation,Data Science Operations Team,"[""Data Science Operations Nagios"", ""Email""]",2019-10-28T16:52:55-07:00
davetest,davetest,,"[""API""]",2016-10-21T08:45:39-07:00
DBA FOCUS ARON,DBA FOCUS ARON,DBA FOCUS,"[""Email""]",2018-07-15T08:12:19-07:00
DBA FOCUS CURT,DBA FOCUS CURT,,"[""Email""]",2018-01-09T19:33:23-08:00
DBA-DSciences OnCall,DBA-DSciences Escalation,DBA-DSciences,"[""DBA-DSciences Integration"", ""DBA-DSCIENCES-AWS"", ""DBA-DSCIENCES-JIRA""]",2019-10-15T16:00:16-07:00
DBRE - CassandraOps Service,DBRE - CassandraOps - Escalation Policy,,"[""Prometheus - Warning""]",
DBRE - CassandraOps Services,DBRE - Escalation Policy,DBRE,"[""Prometheus - Critical"", ""Prometheus - Warning"", ""Email"", ""Slack""]",2019-10-30T07:52:22-07:00
DBRE - Debezium Service,DBRE - Debezium - Escalation Policy,DBRE,"[""Prometheus - Critical"", ""Prometheus - Warning""]",2019-08-29T07:12:40-07:00
DBRE - PageByEmail,DBRE - Escalation Policy,DBRE,"[""Email""]",2019-09-11T16:29:46-07:00
DBRE - Service,DBRE - Escalation Policy,DBRE,"[""Prometheus"", ""Email""]",
DC - API Service Issue,Distributed Commerce - API Escalation,Distributed Commerce,"[""Rigor"", ""dc-api-alerts""]",2019-04-25T08:14:36-07:00
DC - CET - NONPROD,Distributed Commerce - API Escalation,Distributed Commerce,"[""Amazon Cloudwatch""]",2019-10-30T10:12:05-07:00
DC - CET - PROD,Distributed Commerce - API Escalation,Distributed Commerce,"[""Amazon CloudWatch""]",2019-10-22T23:24:14-07:00
DC - CET DB,Distributed Commerce - API Escalation,Distributed Commerce,"[""Amazon Cloudwatch CET DB""]",
DC - CS Tools,Distributed Commerce - API Escalation,Distributed Commerce,"[""Amazon Cloudwatch""]",
DC - EventPublishing Services,Distributed Commerce - Event Publishing Escalation Policy,Distributed Commerce,"[""Rigor"", ""dc-publishing-alerts""]",2017-03-21T14:44:10-07:00
DC - MLBP,Distributed Commerce - API Escalation,Distributed Commerce,"[""Amazon CloudWatch""]",2018-11-08T12:52:59-08:00
DC - Top Picks Service,Distributed Commerce - API Escalation,Distributed Commerce,"[""Amazon Cloudwatch""]",2018-11-30T23:09:33-08:00
DEV - Seat Search ELK,Seat Search NONPROD,Seat Search,"[""Watcher"", ""Amazon Cloudwatch""]",2018-01-25T15:13:55-08:00
DEVGRU Notify,TAP Escalation Policy,TAP,"[""Email"", ""Generic API"", ""aws_cloudwatch_alarm""]",2019-02-15T02:54:07-08:00
DEVGRU Oncall,TAP Escalation Policy,TAP,"[""Email""]",2019-08-21T14:09:02-07:00
Devxtools-nick-test,cloudsys-escalation-test-nick,,"[""API""]",2017-10-18T14:29:26-07:00
DevxTools-Products,devXtools,devXtools,"[""prometheus"", ""Prometheus""]",2019-09-04T13:49:50-07:00
DevXtools-SPLUNK,devXtools,devXtools,"[""Email""]",2018-02-20T21:04:07-08:00
DevXtools-ZABBIX,devXtools,devXtools,"[""Zabbix"", ""Zabbix Email Integration""]",2017-02-27T01:08:47-08:00
DevXtools-ZABBIX-INT-TSD,devXtools,devXtools,"[""Zabbix"", ""Email From Ambari""]",2017-10-26T02:24:00-07:00
Discovery API - AWS,Content and Discovery,Content and Discovery,"[""Amazon Cloudwatch"", ""Prometheus"", ""Events API v1""]",2019-10-25T14:51:42-07:00
Discovery API - AWS - Low,Content and Discovery,Content and Discovery,"[""Amazon Cloudwatch"", ""Events API v1""]",2019-10-30T11:18:42-07:00
Discovery API - AWS preprod,Content and Discovery,Content and Discovery,"[""Amazon Cloudwatch""]",2017-07-23T00:26:25-07:00
Discovery API - Low Urgency,Content and Discovery,Content and Discovery,"[""Email""]",2017-02-24T04:05:51-08:00
Discovery API OnCall,Content and Discovery,Content and Discovery,"[""Email""]",2019-08-13T16:16:36-07:00
Discovery API Paging service,Discovery API,Discovery API,"[""Email""]",
Distil monitoring,ISD Monitoring,INTL Service Delivery,"[""Amazon CloudWatch""]",2019-08-23T01:21:42-07:00
DIY SPT Infrastructure,DIY Escalation Policy,SP3,"[""Email"", ""diy-cloudwatch-alerts""]",2019-10-29T10:51:20-07:00
DIY-Oauth-Integration,DIY Escalation Policy,SP3,"[""Email""]",2019-07-18T09:54:31-07:00
DIY-SelfService-Refunds-Rigor-Alerts,DIY Escalation Policy,SP3,"[""DIY-Rigor-Alerts"", ""SelfService-Rigor-Alerts""]",2019-10-29T17:57:10-07:00
dw_etl-oncall,dw_etl-oncall,dw_etl-oncall,"[""Email"", ""dw_etl-oncall""]",2017-12-13T16:29:32-08:00
ECS - OnPrem,ECS - Escalation Policy,Enterprise Content Services,"[""Prometheus""]",2019-10-24T10:49:45-07:00
ECS - Runscope,ECS - Escalation Policy,Enterprise Content Services,"[""Runscope""]",2019-10-03T15:42:06-07:00
EDB Facade (High),ECS - Escalation Policy,Enterprise Content Services,"[""Email""]",2018-10-29T12:25:01-07:00
EDB Facade (Low),ECS - Escalation Policy,Enterprise Content Services,"[""Email""]",2018-11-02T05:08:24-07:00
EDBFacade TOC Escalation Service,ECS - Escalation Policy,Enterprise Content Services,"[""Email""]",
EDP Services,MEDS-Escalation-Policy,CCP EDP Services,"[""Email"", ""MEDS Cloudwatch""]",2019-10-29T21:39:23-07:00
EDP Sumologic Alerts,CCP Escalation Policy,CCP EDP,"[""Email""]",2018-08-21T05:05:14-07:00
eEntry TOC Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",2019-06-25T14:53:30-07:00
ElastAlert,TM1 Events,TM1 Events - EventBase - authoring,"[""Eventbase - Elastalert""]",2019-10-30T12:27:23-07:00
ElastAlert-Tournament,Tournament-Escalation-Policy,Tournament,"[""ElastAlert""]",2019-10-30T09:33:51-07:00
Eligibility Runtime Cache Service,Virtucon Policy,Virtucon,"[""Email""]",2019-08-16T08:20:46-07:00
Email,B2CMobile TM App Escalation Policy,B2CMOB,"[""Email""]",2019-08-22T12:12:04-07:00
Email integration,Ticketmaster One Reports (INTL) Escalation Policy 1,Ticketmaster One Reports (INTL),"[""Email""]",2019-10-09T11:50:43-07:00
Email Playground,Engage Policy,Engage,"[""Amazon CloudWatch [tm-prod]"", ""Amazon Cloudwatch [tm-nonprod]""]",2019-10-30T14:15:28-07:00
Email-Tournament,Tournament-Escalation-Policy,Tournament,"[""Email-Tournament""]",2019-09-27T06:45:44-07:00
Empirics,TM Post-Purchase Escalation Policy,TM Post-Purchase,"[""Email""]",2019-10-10T09:11:24-07:00
EMT Escalation Service,EMT Support Escalation,CCS Team,"[""Email"", ""Stark Tools""]",2019-10-23T16:55:41-07:00
EMT Healthchecks (High),EMT Support Escalation,CCS Team,"[""Email""]",
EMT Stalled Events,EMT Support Escalation,CCS Team,"[""Email""]",2019-10-30T14:03:39-07:00
EMT Support (High),EMT Support Escalation,CCS Team,"[""JIRA EMT""]",2019-04-20T10:29:21-07:00
EMT Support (Low),EMT Support Escalation,CCS Team,"[""JIRA EMT"", ""splunk""]",2019-10-23T13:22:43-07:00
"EMT,TCT TOC Escalation Service",TCT Escalation,TCT Support,"[""Email (2)""]",2019-04-20T10:04:42-07:00
Enterprise Content Services,ECS - Escalation Policy,Enterprise Content Services,"[""Email"", ""Amazon CloudWatch"", ""Enterprise Search"", ""prometheus""]",2019-10-29T15:33:45-07:00
Enterprise Content Services - Low,ECS - Escalation Policy,Enterprise Content Services,"[""Amazon CloudWatch"", ""Email""]",2019-10-22T10:37:28-07:00
Entitlements - AWS lambdas,ENTITLEMENTS,ENTITLEMENTS,"[""API""]",2018-07-24T04:01:15-07:00
Entitlements - Elastic aws search,ENTITLEMENTS,ENTITLEMENTS,"[""Amazon Cloudwatch""]",2019-10-30T00:07:38-07:00
Entitlements - Recoverable error,ENTITLEMENTS,ENTITLEMENTS,"[""API""]",
Entitlements - Stopped Topology,ENTITLEMENTS,ENTITLEMENTS,"[""API""]",2019-10-15T14:46:46-07:00
Entitlements - Topology batch retry,ENTITLEMENTS,ENTITLEMENTS,"[""API""]",2017-02-01T05:01:14-08:00
Entitlements - Uncategorized topology error,ENTITLEMENTS,ENTITLEMENTS,"[""API""]",2016-12-14T17:25:37-08:00
Entitlements - Unrecoverable errors,ENTITLEMENTS,ENTITLEMENTS,"[""API""]",
Entry Ops,Entry Operations Escalation Policy,Entry Operations,"[""Email""]",2019-09-22T11:48:46-07:00
EntryDP Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",2018-08-18T05:53:30-07:00
EOS-Critical,EOS-Critical,EOS-Critical,"[""Email""]",2019-08-21T10:45:44-07:00
EOS-Oncall,EOS-Oncall,EOS-OnCall,"[""Email"", ""Live Call Routing""]",2019-10-28T08:28:42-07:00
ESB and EXSB,CCS Team Escalation Policy,CCS Team,"[""Email""]",
ESB Cache Load Zabbix Alert,ESB Escalation,ESB,"[""Email""]",2018-07-23T13:15:41-07:00
ESB Cache Nimbus Alert,ESB Escalation,ESB,"[""Email""]",2018-05-11T22:41:33-07:00
ESB Database Nimbus Alert,ESB Escalation,ESB,"[""Email""]",2016-03-17T11:26:50-07:00
ESB Nimbus Alert,ESB Escalation,ESB,"[""Email""]",2018-03-10T14:03:52-08:00
ESB TNC Zabbix Alert,ESB Escalation,ESB,"[""Email""]",
ESBX Nimbus Alert,ESB Escalation,ESB,"[""Email""]",2018-03-08T00:59:11-08:00
EU Network Services On-call,EU Network Engineering on-call,EU Network Engineering,"[""Email"", ""kapacitor""]",2019-10-21T15:16:58-07:00
EU-Opnet,EU Network Engineering,EU Network Engineering,"[""Email""]",2017-09-07T03:41:27-07:00
EU-Solarwinds,EU Network Engineering,EU Network Engineering,"[""Email""]",2019-10-29T18:56:22-07:00
EventBase,TM1 Events,TM1 Events - EventBase - authoring,"[""Email"", ""EventBase PagerDuty API"", ""tm1events email""]",2019-10-25T15:56:57-07:00
EventBase AWS,TM1 Events,TM1 Events - EventBase - authoring,[],2017-02-28T08:03:24-08:00
EventBase ElastAlert,TM1 Events,TM1 Events - EventBase - authoring,"[""Email""]",2018-10-12T12:00:13-07:00
EventBase Prometheus,TM1 Events,TM1 Events - EventBase - authoring,"[""Prometheus"", ""Slack""]",2019-10-01T10:49:35-07:00
EventBase Test,jfbreault,,"[""API""]",2019-10-11T08:03:25-07:00
EventBaseAuthoring,TM1 Events,TM1 Events - EventBase - authoring,"[""Email""]",2019-10-24T10:44:56-07:00
Expo (Low),Contaq - Xsition,Content and Discovery,"[""Amazon CloudWatch""]",2019-03-20T12:30:52-07:00
External Inventory Bridge,Default-EIB,EIB,"[""Prometheus"", ""Aws CloudWatch""]",2019-10-30T11:25:50-07:00
Fan Seller - Low Priority,TM Post-Purchase Escalation Policy,TM Post-Purchase,"[""Email""]",2019-10-29T09:00:26-07:00
Fan Seller Escalation Service,TM Post-Purchase Escalation Policy,TM Post-Purchase,"[""Email"", ""Rigor""]",2019-10-24T12:50:38-07:00
Fanbuilder MR Jobs,FanBuilder Escalation Policy,Fanbuilder,"[""Email""]",2019-10-27T19:00:50-07:00
FanBuilder Tm One User Interface,FanBuilder Escalation Policy,Fanbuilder,"[""Fanbuilder Rigor"", ""Fanbuilder Email"", ""PIM""]",2019-10-28T09:48:21-07:00
Fastly Layer alerting,CCP Escalation Policy,CCP EDP,"[""Papertrail""]",2018-09-17T08:50:23-07:00
Filer-Critical,Techops-Infra-Oncall,Techops Infrastructure,"[""Email"", ""Prometheus""]",2019-10-24T08:09:06-07:00
Filer-Warn,Techops-Infra-Oncall,Techops Infrastructure,"[""Email""]",2019-10-29T16:12:17-07:00
Flex,Flex development Escalation policies,Flex Development,"[""pdincident""]",2018-04-04T18:32:34-07:00
FluentD - EventBase,TM1 Events,TM1 Events - EventBase - authoring,"[""FluentD""]",2019-01-10T00:38:28-08:00
FluentD - IPA,TM1 Events,TM1 Events - EventBase - authoring,"[""Amazon Cloudwatch"", ""fluent-pagerduty""]",2017-08-22T08:43:36-07:00
FluentD - Ism Map Connector,TM1 Events,TM1 Events - EventBase - authoring,"[""API""]",
FluentD - Offer,TM1 Events,TM1 Events - EventBase - authoring,"[""FluentD""]",2018-11-08T11:11:23-08:00
FOCUS ONCALL,FOCUS ONCALL,FOCUS ONCALL,"[""Email""]",2017-09-27T01:09:19-07:00
FOCUS ONCALL AA,FOCUS ONCALL AA,FOCUS ONCALL AA,"[""Email""]",
FOCUS ONCALL AA HIGH,FOCUS ONCALL AA,FOCUS ONCALL AA,"[""Email""]",2017-11-13T22:10:00-08:00
FOCUS ONCALL ALL,FOCUS ONCALL ALL,FOCUS ONCALL ALL,"[""Email""]",2016-12-01T18:28:53-08:00
FOCUS ONCALL ALL HIGH,FOCUS ONCALL ALL,FOCUS ONCALL ALL,"[""Email""]",
FOCUS ONCALL AM,FOCUS ONCALL AM,FOCUS ONCALL,"[""Email""]",
FOCUS ONCALL AM HIGH,FOCUS ONCALL AM,FOCUS ONCALL,"[""Email""]",
FOCUS ONCALL AP,FOCUS ONCALL AP,FOCUS ONCALL AP,"[""Email""]",
FOCUS ONCALL AP HIGH,FOCUS ONCALL AP,FOCUS ONCALL AP,"[""Email""]",2016-12-13T07:46:51-08:00
FOCUS ONCALL DF,FOCUS ONCALL DF,FOCUS ONCALL DF,"[""Email""]",
FOCUS ONCALL DF HIGH,FOCUS ONCALL DF,FOCUS ONCALL DF,"[""Email""]",2019-10-22T05:47:39-07:00
FOCUS ONCALL DS,FOCUS ONCALL DS,FOCUS ONCALL DS,"[""Email""]",2016-12-02T18:44:14-08:00
FOCUS ONCALL DS HIGH,FOCUS ONCALL DS,FOCUS ONCALL DS,"[""Email""]",2019-03-18T09:37:46-07:00
FOCUS ONCALL EK,FOCUS ONCALL EK,FOCUS ONCALL EK,"[""Email""]",
FOCUS ONCALL EK HIGH,FOCUS ONCALL EK,FOCUS ONCALL EK,"[""Email""]",2019-09-29T19:10:50-07:00
FOCUS ONCALL JM,FOCUS ONCALL JM,FOCUS ONCALL JM,"[""Email""]",
FOCUS ONCALL JM HIGH,FOCUS ONCALL JM,FOCUS ONCALL JM,"[""Email""]",2019-10-11T05:41:06-07:00
FOCUS ONCALL JQ,FOCUS ONCALL JQ,FOCUS ONCALL JQ,"[""Email""]",
FOCUS ONCALL JQ HIGH,FOCUS ONCALL JQ,FOCUS ONCALL JQ,"[""Email""]",2019-09-29T08:47:20-07:00
FOCUS ONCALL JR,FOCUS ONCALL JR,FOCUS ONCALL JR,"[""Email""]",
FOCUS ONCALL JR HIGH,FOCUS ONCALL JR,FOCUS ONCALL JR,"[""Email""]",2017-04-15T19:55:49-07:00
FOCUS ONCALL KB,FOCUS ONCALL KB,FOCUS ONCALL KB,"[""Email""]",
FOCUS ONCALL KR,FOCUS ONCALL KR,FOCUS ONCALL KR,"[""Email""]",
FOCUS ONCALL KR HIGH,FOCUS ONCALL KR,FOCUS ONCALL KR,"[""Email""]",2017-09-28T21:00:24-07:00
FOCUS ONCALL KS,FOCUS ONCALL KS,FOCUS ONCALL KS,"[""Email""]",2017-04-06T02:43:24-07:00
FOCUS ONCALL KS HIGH,FOCUS ONCALL KS,FOCUS ONCALL KS,"[""Email""]",2019-03-18T18:10:24-07:00
FOCUS ONCALL OFFSHORE,FOCUS ONCALL OFFSHORE,FOCUS ONCALL OFFSHORE,"[""Email""]",
FOCUS ONCALL OFFSHORE  HIGH,FOCUS ONCALL OFFSHORE,FOCUS ONCALL OFFSHORE,"[""Email""]",2016-12-01T21:38:50-08:00
FOCUS ONCALL ONSHORE,FOCUS ONCALL ONSHORE,FOCUS ONCALL ONSHORE,"[""Email""]",
FOCUS ONCALL ONSHORE HIGH,FOCUS ONCALL ONSHORE,FOCUS ONCALL ONSHORE,"[""Email""]",
FOCUS ONCALL PA,FOCUS ONCALL PA,FOCUS ONCALL PA,"[""Email""]",2016-12-02T16:22:52-08:00
FOCUS ONCALL PA HIGH,FOCUS ONCALL PA,FOCUS ONCALL PA,"[""Email""]",2019-10-02T02:12:53-07:00
FOCUS ONCALL VM,FOCUS ONCALL VM,FOCUS ONCALL VM,"[""Email""]",
FOCUS ONCALL VM HIGH,FOCUS ONCALL VM,FOCUS ONCALL VM,"[""Email""]",2019-10-02T04:32:39-07:00
Fraud Prom-dev,Fraud DEV,Fraud,"[""Prometheus""]",2018-10-03T06:46:41-07:00
FSS Escalation,CCS Team Escalation Policy,CCS Team,"[""Email"", ""UPS FSS""]",2019-10-25T09:54:46-07:00
fulfillment-ticket-sink,CTS-HATS Escalation Policy,CTS Fulfillment,"[""Email"", ""fulfilment-ticket-sink-prometheus""]",2019-08-20T18:14:30-07:00
FXP monitoring,TMOL Alerts Monitoring Escalations,"TMOL DevOps (Grep, FXP, TMOLER)","[""Email""]",2019-10-29T08:20:45-07:00
Gameday Critical Incident,Gameday Critical Incident,,"[""Email""]",2018-12-09T07:56:45-08:00
GCFT Escalation,CCS Team Escalation Policy,CCS Team,"[""Email"", ""USP""]",2019-07-20T20:04:08-07:00
Genesys Email Alert,Genesys Escalation Policy,Contact Center - Technology,"[""Email""]",
Genesys Solarwinds Alert,Genesys Escalation Policy,Contact Center - Technology,"[""SolarWinds""]",2019-08-07T08:23:00-07:00
GES - Orders,GES - Orders,Enterprise Content Services,"[""API"", ""Amazon CloudWatch"", ""Slack"", ""Email""]",2019-10-30T07:00:56-07:00
GitLab,devXtools,devXtools,"[""Amazon Cloudwatch"", ""GitLab Prometheus"", ""Generic API"", ""Gitlab Email PagerDuty""]",2019-06-17T12:47:34-07:00
Global Health Monitor (GobalHM),TM Post-Purchase Low Priority Policy,TM Post-Purchase,"[""Email""]",
GMIAPI,IORE - LNRSL,International Operations and Reliability Engineering - LNRSL,"[""Generic API""]",2019-10-16T14:21:11-07:00
GREP TMOL Alerts,TMOL Alerts Monitoring Escalations,"TMOL DevOps (Grep, FXP, TMOLER)","[""Email"", ""For PIM""]",2019-10-30T06:45:35-07:00
HA Catalog - PROD EAST (Prometheus),AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2019-10-25T06:30:36-07:00
HA Catalog - PROD WEST (Prometheus),AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2019-10-25T06:31:06-07:00
HA Catalog - STG EAST (Promotheus),AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2019-10-16T09:56:08-07:00
HA Catalog - STG WEST (Prometheus),AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2019-05-14T10:32:43-07:00
Harry Potter Play,HPP Escalation,HPP,"[""Email"", ""API Monitoring Integration""]",2019-07-11T23:10:07-07:00
HATS_Archtics,HATS_Archtics,,"[""Prometheus"", ""HATS_Archtics_Slack""]",2019-07-26T12:56:01-07:00
HC Critical,HC Escalation,Hybrid Cloud Tools and Ops,"[""Slack to PagerDuty"", ""tm-payer critical subscription"", ""tm-prod critical subscription"", ""tm-nonprod critical subscription"", ""tm-pci critical subscription"", ""tm-critical critical subscription""]",2019-06-04T07:53:47-07:00
HC Warn,HC Escalation,Hybrid Cloud Tools and Ops,"[""tm-payer warn subscription"", ""tm-prod warn subscription"", ""tm-nonprod warn subscription"", ""tm-pci warn subscription"", ""tm-critical warn subscription""]",2019-10-08T17:04:25-07:00
Helios Production Alerts,Helios Escalation Policy,Helios,"[""Email"", ""Helios CloudWatch""]",2019-10-06T09:57:23-07:00
Helios TOC Escalation Service,Helios Escalation Policy,Helios,"[""Email""]",2015-12-10T06:56:28-08:00
HPP Webhook,HPP Escalation,HPP,"[""Email""]",
hpp-prometheus,HPP Escalation,HPP,"[""Prometheus""]",2019-04-02T03:22:11-07:00
Hybrid Cloud Oncall,HC Escalation,Hybrid Cloud Tools and Ops,"[""Email""]",2019-04-13T13:21:58-07:00
IAC,IAC escalation,IAC,"[""pdincident""]",2019-03-27T07:58:12-07:00
iac-appconnector,IAC escalation,IAC,"[""pdincident"", ""Email Integration""]",2019-10-25T12:42:58-07:00
iac-appconnector-low,IAC Escalation-Low,IAC,"[""pdincident"", ""Email Integration""]",2019-08-28T19:44:04-07:00
iac-appserver,IAC escalation,IAC,"[""pdincident"", ""Email Integration""]",2019-10-10T16:40:05-07:00
iac-appserver-low,IAC Escalation-Low,IAC,"[""pdincident"", ""Email Integration""]",2019-08-20T02:40:50-07:00
iac-proxy,IAC escalation,IAC,"[""pdincident"", ""Email Integration""]",2019-08-14T03:53:35-07:00
iac-proxy-low,IAC Escalation-Low,IAC,"[""pdincident"", ""Email Integration""]",2019-10-15T18:23:38-07:00
IAM - Adapter - Legacy Identity,IAM - Critical Alerts,IAM - B2B-Identity,"[""Email"", ""legacy-id-adpt-pd-key""]",2016-07-27T17:39:31-07:00
IAM - ClientCenter,IAM - ClientCenter Critical Alerts,IAM - B2B-Identity,"[""Email""]",2016-11-01T08:37:42-07:00
IAM - IBS -- UWS Adapter,IAM - Critical Alerts,IAM - B2B-Identity,"[""Email"", ""uws-pd-key""]",2018-09-26T17:16:37-07:00
IAM - IBS -- UWS Adapter - preprod,IAM - Critical Alerts,IAM - B2B-Identity,"[""Email""]",2018-08-28T18:36:53-07:00
IAM - IGS -- B2B-Identity,IAM - Critical Alerts,IAM - B2B-Identity,"[""Email"", ""b2b-identity-pd-key"", ""b2b-identity-permissions""]",2019-10-24T12:26:48-07:00
IAM - OneLogin,IAM - Critical Alerts,IAM - B2B-Identity,"[""Email"", ""OneLogin Cloud Watch Integration"", ""PingFederate""]",2019-10-29T14:35:25-07:00
ICCPAdmin,Tea Drinker (ICCPAdmin|Cobrand) OnCall,Tea Drinkers (ICCPAdmin | Cobrand),"[""ICCPAdmin Tea Drinkers"", ""StatusCake"", ""cobrand-dev"", ""ICCPAdmin CloudWatch""]",2019-10-30T09:19:16-07:00
identity,Identity Escalation Policy,Identity,"[""Email"", ""Prometheus""]",2018-10-24T16:00:21-07:00
Identity - Rigor,Identity Escalation Policy,Identity,"[""Rigor""]",2019-10-28T18:20:13-07:00
Identity Cloudwatch,Identity Escalation Policy,Identity,"[""Amazon Cloudwatch""]",2019-10-11T16:43:30-07:00
Identity Forgot Password,Identity Escalation Policy,Identity,"[""Rigor - Identity Forgot Password Test""]",2018-04-06T10:23:42-07:00
ifs.communication-dispatcher,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email""]",2019-10-04T06:54:49-07:00
ifs.communication-dispatcher-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email""]",
ifs.communication-sender,Intl Fulfillment,Intl Fulfillment,"[""Email"", ""pdincident""]",
ifs.communication-sender-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""Email"", ""pdincident""]",
iis.services.aws.test,IIS-Low-EscalationPolicy,IIS,"[""Prometheus""]",2019-07-30T12:27:30-07:00
iis.services.inventory-gateway,IIS-Prod-EscalationPolicy,IIS,"[""Email"", ""pdincident"", ""pdincident2""]",2019-09-04T15:24:39-07:00
iis.services.inventory-gateway-low,IIS-Low-EscalationPolicy,IIS,"[""Email"", ""pdincident""]",2018-07-31T12:41:33-07:00
InfoSec Leadership Service,InfoSec Leadership,Cyber Security Incident Response Team - CSIRT,"[""Email to InfoSec Leaders""]",2017-02-08T14:59:26-08:00
insurance-accept_healthcheck,TSAPI-PROD,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-29T06:47:23-07:00
insurance-accept_healthcheck-low,TSAPI-STAGE,TSAPI,"[""pdincident"", ""Email Integration""]",2019-04-16T14:56:55-07:00
insurance-cancel_healthcheck,TSAPI-PROD,TSAPI,"[""pdincident""]",2019-09-08T11:26:31-07:00
insurance-getquote_healthcheck,TSAPI-PROD,TSAPI,"[""pdincident""]",2019-09-08T11:26:26-07:00
Inter AWS DNS,HC Escalation,Hybrid Cloud Tools and Ops,"[""Inter AWS DNS Prometheus Alert"", ""Inter AWS DNS Email Alert""]",2019-07-16T03:45:41-07:00
International Onsales Workstream,IOPSCPT_HABITAT,IOPSCPT,"[""onsale-dashboard-watchdog""]",2019-09-30T14:46:04-07:00
International Operations and Reliability Engineering (CPT),IOPSCPT - Escalation Policy,IOPSCPT,"[""Slack to PagerDuty"", ""Email"", ""Email"", ""Email"", ""OnsalesAutomator"", ""Statscake""]",2019-10-23T00:57:19-07:00
International Platform Infrastructure,International Platform Infrastructure Escalation,International Platform Infrastructure,"[""Prometheus"", ""international platform infrastructure"", ""Grafana Alerting""]",2019-08-28T22:18:34-07:00
International Platform Infrastructure - Alertmanager,International Platform Infrastructure Escalation,International Platform Infrastructure,"[""Prometheus""]",2019-10-26T13:18:57-07:00
International Platform Infrastructure - Email,International Platform Infrastructure Escalation,International Platform Infrastructure,"[""Email""]",2019-09-10T01:28:36-07:00
Intl Fulfillment - AWS,Intl Fulfillment,Intl Fulfillment,"[""API"", ""Prometheus""]",2019-10-28T09:49:51-07:00
Intl Fulfillment Default,Intl Fulfillment,Intl Fulfillment,"[""API""]",2019-10-15T18:43:41-07:00
Intl onsales tech lead,Intl Onsales Tech lead,INTL ONSALES TECH LEAD,[],
INTL Product Support Escalation,INTL Product Support,INTL Product Support,"[""Email""]",2019-10-12T06:37:12-07:00
INTL Tech Leads Escalation,INTL Tech Leads Escalation,INTL Tech Leads Escalation,"[""Email""]",2018-12-22T15:19:23-08:00
intl-b2c-security-SRI-monitoring API,intl-b2c-security,intl-b2c-security,"[""API""]",2018-08-05T14:11:32-07:00
INTL-PS,Product Support default,,"[""INTLProductSupport""]",2017-06-28T06:27:09-07:00
Intl-Resale Epam Notification,Intl-Resale Epam,,"[""Email""]",2018-12-21T04:53:57-08:00
INTL-Resale-Email,INTL-Resale Escalation Policy,INTL-Resale,"[""Email""]",2018-12-19T15:24:35-08:00
Inventory Control Rigor Alerts,INVENTORY CONTROL ESCALATION POLICY 1,,"[""Rigor""]",2019-06-06T15:58:53-07:00
inventory-control-nimbus,Platinum Escalation Policy,Platinum Tool and RT ISM,"[""Email""]",2017-01-09T13:48:34-08:00
inventory-control-oncall,Platinum Escalation Policy,Platinum Tool and RT ISM,"[""Email""]",2017-10-31T07:43:47-07:00
inventory-stream-aws-cw,CTS Supply Oncall Escalation,CTS Supply,"[""Amazon Cloudwatch""]",2019-10-14T18:23:49-07:00
IO-STP-Email,IO-STP-Escalation,IO-STP,"[""IO STP Email""]",2019-04-11T09:41:17-07:00
IO-TechOps-service,NAMPP-Escalation,NAMPP,"[""Email""]",2018-09-19T08:25:22-07:00
IO-VFS-Email,IO-VFS-Schedule,IO-VFS,"[""Email""]",
IO-VV-Email,IO-VV-Escalation,Virtual Venue-ISM Group,"[""IO-VV-Email""]",2019-09-18T10:01:49-07:00
IOMEDIA Account Manager,IOMEDIA Escalation,New Account Manager (NAM),"[""IOMEDIA Account Manager | Front End""]",2019-10-21T10:53:47-07:00
IOMEDIA-Pitchman,Pitchman-escalation-policy,Pitchman,"[""Email""]",2018-01-11T09:48:54-08:00
IOPS Generic,IOPSCPT HABITAT,IOPSCPT,"[""pdincident"", ""Nimbus""]",2019-03-28T22:07:30-07:00
